#{"t_start": 1663407905.073699, "env_id": "MultiagentReaction-v0"}
r,l,t
-118.306219,6000,12.362702
-112.282242,6000,20.915865
107.998539,1611,23.485162
-113.080375,6000,32.074765
-115.720732,6000,40.784274
-117.987748,6000,49.779216
-116.141622,6000,58.257875
-111.438179,6000,66.399685
-109.407162,6000,74.734164
-116.397749,6000,82.792371
106.997613,1446,83.908985
-117.418076,6000,92.081528
-109.489366,6000,99.76895
-122.747454,6000,107.265421
-119.362801,6000,114.940259
106.999213,1619,117.243168
-122.533011,6000,124.921187
-111.971462,6000,132.602993
-110.12226,6000,140.048431
-111.679442,6000,147.731387
-109.353015,6000,155.404181
-105.574062,6000,161.875747
-108.090758,6000,169.576077
-112.582809,6000,177.261149
-107.898651,6000,184.95232
-122.940795,6000,192.644331
-106.727373,6000,200.329535
-106.107982,6000,208.024505
102.160919,693,208.497342
-104.863889,6000,216.181072
-108.303175,6000,223.870476
-106.334872,6000,231.392881
-105.273316,6000,239.088699
104.996995,1207,241.103759
-106.249077,6000,248.809104
-106.524369,6000,256.203893
-106.257817,6000,262.725662
-112.03518,6000,270.48526
-102.407067,6000,278.25434
107.060326,1809,280.695614
-109.52621,6000,288.456643
-98.749002,6000,296.190485
-106.551462,6000,303.946354
-100.895167,6000,311.71098
-100.144951,6000,319.513445
-107.201381,6000,327.302721
-104.281934,6000,335.035696
-101.375886,6000,342.765695
-105.317049,6000,350.506155
-112.437777,6000,358.222179
-108.203398,6000,364.745785
-115.999052,6000,372.42593
-113.483649,6000,380.139215
-109.238427,6000,387.870418
-110.357275,6000,395.691158
-110.339644,6000,403.405453
-116.800502,6000,411.15819
-115.488316,6000,419.070467
-110.229598,6000,426.861372
-92.438296,6000,434.324845
-116.887735,6000,442.1436
-105.736196,6000,449.85318
-116.65234,6000,457.417909
-116.475339,6000,465.250321
-124.30377,6000,471.856518
-112.208593,6000,479.696599
-114.183976,6000,487.296048
-118.22301,6000,494.83623
-112.161139,6000,502.821168
-108.818512,6000,510.616799
-110.389518,6000,518.380638
-106.068389,6000,526.285047
-119.177699,6000,534.004703
-115.64937,6000,541.907352
-116.424635,6000,549.741024
-108.90611,6000,557.565928
-124.853783,6000,565.178512
-111.003316,6000,572.965412
-104.446985,6000,579.556195
-98.806913,6000,587.560927
-116.294786,6000,595.423059
-110.528666,6000,603.418507
-107.650982,6000,611.246455
-119.04545,6000,619.018065
-110.010035,6000,626.828135
104.828347,1319,629.098645
-106.149148,6000,637.039568
-114.855496,6000,645.067502
-114.268357,6000,651.867404
-118.456587,6000,659.962633
-99.165425,6000,668.418838
-117.816513,6000,676.310488
-104.785079,6000,684.129904
-99.793782,6000,692.52441
105.323077,1600,694.952513
-106.289975,6000,703.241713
-103.007218,6000,711.0998
-110.317478,6000,718.900611
-103.160252,6000,726.702744
-103.817666,6000,734.48235
-107.562585,6000,741.070822
-107.127743,6000,748.878252
-108.089643,6000,756.693336
-109.956353,6000,764.444147
-102.58967,6000,772.261672
-108.275889,6000,780.059356
-103.068249,6000,787.85446
-103.409964,6000,795.701628
-100.366421,6000,803.573472
-112.631348,6000,811.294004
-109.23976,6000,819.088304
-117.315126,6000,826.853263
-106.962002,6000,834.686247
-112.725108,6000,842.48772
-102.425527,6000,849.138304
-108.516121,6000,856.963978
-105.153534,6000,864.687037
-99.325197,6000,872.49935
-118.929616,6000,880.292058
-105.760536,6000,888.113883
-111.604054,6000,895.919823
-105.763224,6000,903.729218
-117.93601,6000,911.389784
-105.150503,6000,919.110195
-108.241006,6000,926.89333
-101.953942,6000,934.681476
-102.482021,6000,942.497399
-112.056429,6000,950.309148
-109.800724,6000,957.817204
-105.423535,6000,964.425976
-109.258255,6000,972.218097
-110.459531,6000,979.96882
-105.107128,6000,987.761063
-102.277665,6000,995.631993
-105.122761,6000,1003.498001
-104.686706,6000,1011.231144
-100.435455,6000,1019.111057
-109.737063,6000,1026.99085
-119.525949,6000,1034.787349
-113.656988,6000,1042.715084
-113.991629,6000,1050.583735
-113.030675,6000,1058.520608
-117.163309,6000,1066.382979
-115.470931,6000,1072.891106
-105.135088,6000,1080.676127
-106.742576,6000,1088.530555
-109.538439,6000,1096.425058
-108.171455,6000,1104.2881
-106.74415,6000,1112.115771
-108.886393,6000,1119.926435
-107.715915,6000,1127.768831
-114.196941,6000,1135.594846
-106.537037,6000,1143.424787
-119.112735,6000,1151.255871
-108.709886,6000,1159.155354
-100.256168,6000,1167.050982
-120.844391,6000,1174.887007
-102.343328,6000,1181.507957
-103.869076,6000,1189.347277
-108.919243,6000,1197.171057
104.998239,1202,1199.189244
-117.104052,6000,1207.087913
-103.351857,6000,1214.966358
-120.001857,6000,1222.511521
-103.335574,6000,1230.347307
-119.944893,6000,1238.151678
-104.629649,6000,1244.794195
107.999739,1890,1247.32471
104.996826,1200,1249.368004
-105.669959,6000,1257.211058
-105.744239,6000,1265.043844
-106.288183,6000,1272.862605
104.098918,1111,1273.665584
-106.889002,6000,1281.102915
-107.115369,6000,1288.878215
-109.519947,6000,1296.377933
-109.296433,6000,1304.230426
-106.522301,6000,1312.062221
-107.570014,6000,1319.755739
-102.544677,6000,1327.644239
-106.77062,6000,1335.414206
-102.11641,6000,1343.294491
-102.776586,6000,1350.811234
-112.034129,6000,1358.627584
-118.919127,6000,1365.325619
-110.245853,6000,1373.148481
-104.684394,6000,1380.998421
-120.429675,6000,1388.795998
-110.958704,6000,1396.648644
106.068866,1517,1398.782675
102.995772,706,1399.275924
-109.640043,6000,1406.968053
-106.146588,6000,1414.730447
-105.331429,6000,1422.533757
-103.125453,6000,1430.384071
-102.886979,6000,1438.184273
-106.970262,6000,1445.97865
-111.083267,6000,1453.841292
-108.608391,6000,1461.595469
-112.267079,6000,1469.481628
-102.735496,6000,1477.333377
-104.2567,6000,1485.202302
-103.611824,6000,1491.861879
-108.486376,6000,1499.681516
-105.33952,6000,1507.509619
-114.781046,6000,1515.103693
-103.287846,6000,1522.985982
-100.503147,6000,1530.835849
-111.078025,6000,1538.729294
-102.053867,6000,1546.588693
-105.275884,6000,1554.434232
-103.839092,6000,1562.329783
-101.676752,6000,1570.244126
-107.006782,6000,1578.169092
-100.370488,6000,1586.07136
-99.552201,6000,1593.909272
-110.132027,6000,1600.6603
-103.824138,6000,1608.489851
-109.712931,6000,1616.429364
107.541643,2052,1619.06731
106.808469,2131,1621.609766
-109.567455,6000,1629.47669
-107.521607,6000,1637.35917
-102.075745,6000,1645.307344
-110.677273,6000,1653.253795
-109.602879,6000,1661.271142
106.614726,1709,1663.710363
-106.859093,6000,1671.351639
-110.64666,6000,1679.376159
-110.797239,6000,1687.307925
-108.809191,6000,1694.960479
-107.582011,6000,1702.952954
-107.708103,6000,1709.677579
-109.651505,6000,1717.64771
102.158545,564,1719.23738
-106.414348,6000,1727.152206
-107.961673,6000,1733.866052
-100.744497,6000,1741.823656
-98.341299,6000,1749.76813
-100.094991,6000,1757.754846
-105.437938,6000,1765.618497
-107.568556,6000,1773.594586
-106.601342,6000,1781.519519
-99.43323,6000,1789.237156
-109.723363,6000,1797.240168
-105.885119,6000,1805.188003
-99.923282,6000,1813.25656
-98.652853,6000,1821.279541
-105.726066,6000,1829.180944
-109.675626,6000,1837.085142
-109.728412,6000,1845.10484
-104.935703,6000,1851.795126
-109.197508,6000,1859.731466
-115.830342,6000,1867.705598
-101.781965,6000,1875.767986
-107.204752,6000,1883.427189
-106.898687,6000,1891.374769
-110.48854,6000,1899.346625
-105.069649,6000,1907.279984
-103.310675,6000,1915.233304
-109.815261,6000,1923.296215
-105.295078,6000,1931.255025
-103.970004,6000,1939.346604
-106.105967,6000,1947.276919
-106.377005,6000,1955.22056
-109.340485,6000,1961.833742
-113.911012,6000,1969.78717
-110.130439,6000,1977.821376
-106.165211,6000,1985.768755
-100.987388,6000,1993.803761
-102.132572,6000,2001.760713
-110.102509,6000,2009.748372
-105.508672,6000,2017.772521
-110.739551,6000,2025.667277
-107.935984,6000,2033.605419
-110.794111,6000,2041.538481
-106.419459,6000,2049.458991
-105.45143,6000,2056.863094
-107.66998,6000,2064.736984
-109.750725,6000,2071.488043
-107.255214,6000,2079.503525
-111.339569,6000,2087.525665
-110.549625,6000,2095.610105
-106.406955,6000,2103.519779
-106.28486,6000,2111.499422
-108.15091,6000,2119.368396
-115.093083,6000,2127.313141
-108.479181,6000,2135.190353
-110.922038,6000,2143.269739
-107.792944,6000,2151.260165
-110.702064,6000,2159.316675
-104.750341,6000,2167.072446
-107.996494,6000,2175.030423
-116.539077,6000,2181.819744
103.120968,911,2183.67169
-114.293641,6000,2191.609601
-107.73623,6000,2199.593777
-117.950025,6000,2207.509457
